OBJECTID,artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location,F2010_Census_Neighborhoods,F2010_Census_Wards_Precincts,Zip_Codes,GlobalID
266,Sugarman,George,https://data.baltimorecity.gov/views/5xsg-uc29/files/SuVWGRuKuAJNuPW6syiVaYczvntj-7BuNRp40rhUhL0?filename=14_Sugarman+G_1978.JPG,Baltimore Federal,1978,painted aluminum,21201,E.A. Garmatz Federal Building,101 W. Lombard St.,,Entrance plaza near Hanover & Lombard St.,,highly visible,Outdoor accessible,,"101 W. Lombard St.21201
(39.28763044116419, -76.61629234521642)",241,6,13642,4721f94d-874a-4c29-8412-695aa688250f
267,Rothschild,Amalie,,Unknown,1970,aggregate stone,21215,"Dr. Martin Luther King, Jr. ES",3750 Greenspring Ave.,PS 254,Architrave,,,,,"3750 Greenspring Ave.21215
(39.34556999999995, -76.68362000000002)",5,244,27295,edafb12f-3423-411a-8af0-eb4ae8e5ca2f
268,Mahoney,Erin,,,2006,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,very visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,0fbda6d0-fb9c-47d2-9365-bf89bb9fbc42
269,Leizman,William,,Unknown,1973,mural,21216,Rosemont Recreation Center,1201 N. Rosedale St.,,Interior,,,,,"1201 N. Rosedale St.21216
(39.302740428386414, -76.66892716508187)",216,81,27297,8af32361-7b87-46ed-aba9-3e75a48a9eec
270,Remington,Bill,,,2006,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,c8dcc76f-5449-4336-a643-58eab1248f7f
271,Greenly,Colin,,Wishbone House,1967,concrete,21218,Playlot,200 E 21st St.,,"Exterior; south end",,,,,"200 E 21st St.21218
(39.3133910537938, -76.61387044005129)",10,160,27307,d8e3b55f-92df-4c0a-a574-fac7fc3d7e41
272,Antonakas,Stephen,https://data.baltimorecity.gov/views/5xsg-uc29/files/jXHaR_xasl5Q_TpQZeTG2klLjCQKuVi7JZp5SW4-bbg?filename=79_Antonakas+S_1983.JPG,Neon for Charles Street Station,1983,neon,21202,Charles Center Station (Metro),2 Charles St.,,Indoor/underground above the turnstiles,large red-orange abstract neon shapes,Highly Visible,Indoor accessible,,"2 Charles St.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,cd0dc520-ba30-4359-8be8-988845a742d2
273,Majorowicz,Roger,,Pegasus,1971,bronze,21213,Dr. Bernard Harris Sr. ES,1400 N. Caroline St.,PS 250,Left of entrance,,,,,"1400 N. Caroline St.21213
(39.30681435717918, -76.5981235417151)",180,154,26956,3f14bc2a-4c0e-4c05-88a1-d668757b3deb
274,Bearden,Romeare,https://data.baltimorecity.gov/views/5xsg-uc29/files/vNYAcwn2XnzB6Gbbf6hVkGtn9y3IPaLnRFwK23Hu7jU?filename=35_Bearden+R_1982.jpg,Jazz Musicians,,mosaic,21217,Upton Station,1850 Pennsylvania Ave.,,,,,,,"1850 Pennsylvania Ave.21217
(39.30466755969106, -76.63614276252174)",242,99,27301,92b278d9-3b2d-4085-92d4-c63078498e8b
275,Moore,Henry,,Three-Piece Reclining Figure No. 1,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,e2cc4d81-c480-44ba-a065-7c82ec857cce
276,"McRaney, Kohilas, Konsalas, Perrelli, Cavocos","Shawn, Xenofon, et al",,,2004,mural,21224,503 Oldham St.,503 Oldham St.,,Back of building with parking lot,Greek life images,Visible from street,,,"503 Oldham St.21224
(39.28703448054869, -76.55570960997416)",90,139,27935,1d28c865-311a-4866-91a6-880726d022a3
277,Whiting,Edmund,,Unknown,,,21215,Towanda Recreation Center,4100 Towanda Ave.,,,,,,,"4100 Towanda Ave.21215
(39.33504078211094, -76.66643772776918)",232,70,27295,11d8f205-91dd-47e1-9f6d-33c90c6e932d
278,Lawrance,Charles,,,2008,mural,21213,Latrine Building at Herring Run at Hall Spring,3545 Bel Air Road,,one long wall left side  and front side of building,"nature scene deers, birds, creek",Very Visible,,,"3545 Bel Air Road21213
(39.324228065368914, -76.5700688634434)",275,199,26956,056e809a-ad99-475a-967f-cb11eb4f4ab0
279,Fergerson,Richard,,Unknown,1978,aluminum,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Exterior courtyard,,,,,"33rd St. and The Alameda21218
(39.32849701130556, -76.59533564342422)",77,186,27307,70389478-d36b-4410-b924-91caab1aaa4f
280,Peterson,Harvey,,Untitled,1986,neon,21230,Municipal Animal Shelter,301 Stockholm St.,,Roof top,,,,,"301 Stockholm St.21230
(39.2747715132752, -76.62254912803087)",32,174,27953,b913597f-a3e5-4fbb-abb6-926d3f0187fd
281,unknown,,,various sculptures,,,21217,Area around Maryland Institute College of Art,1300 Mount Royal Ave.,,,,,,,"1300 Mount Royal Ave.21217
(39.30750188439189, -76.62114988191786)",21,95,27301,058372b0-7a00-4f64-a2df-e5f80efcf82c
282,Bufano,Benjamin,,Owl,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University21218
(39.32947000000013, -76.60331999999988)",77,186,27307,92af734e-49d5-48d1-8ffb-8e876daa14ea
283,Rodin,Auguste,,Balzac,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,6f4c7b97-0afb-438f-af4c-68a2e81e531e
284,Niebauer,William,https://data.baltimorecity.gov/views/5xsg-uc29/files/gUVwrS6E5h9S8V9Dfp-tIjv2oiCuV-jYy3muglyq_So?filename=562_Niebaur+W_2004.jpg,Triaxial Link,2004,concrete,21201,Inner Harbor Promenade,100 Light St,,Near the Baltimore Visitor Center facing the promenade,3 concrete arcs sitting open end up,Very visible (at Inner Harbor),,,"100 Light St21201
(39.294880000000035, -76.62253999999996)",224,90,13642,183930eb-4081-47d1-8d43-6d4568429768
285,Leverette,Carlton,,Untitled,1975,ceramic tiles,21213,Laurence Paquin HS,2200 Sinclair Lane,PS 457,Over entrance door,,,,,"2200 Sinclair Lane21213
(39.3143057096832, -76.58758348753167)",53,155,26956,d84a8b91-7c22-4c50-87da-1550d8c08bd9
286,"Murchison, architect",Kenneth W.,,Unknown (Clock Relief),c.1911,stone (or terracotta),21202,Penn Station,1515 N. Charles St.,,,,,,,"1515 N. Charles St.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,02d6395e-b72a-4023-a2d8-4a6f35566143
287,Batchelor,Linda,,Unknown,1978,fabric wall hanging,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Interior,,,,,"33rd St. and The Alameda21218
(39.32849701130556, -76.59533564342422)",77,186,27307,9398adad-c537-4bef-bc21-bd3527c74603
288,Turnbull,Grace,,Reese Monument,1939,marble,21213,Lake Clifton HS,2801 St. Lo Dr.,PS  40,,,,,Y,"2801 St. Lo Dr.21213
(39.31751628932784, -76.58839287735805)",53,198,26956,23f1662f-55da-4cbf-9431-425084c74415
289,Hege,Orpha,,Unknown,1978,fabric wall hanging,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Interior,,,,,"33rd St. and The Alameda21218
(39.32849701130556, -76.59533564342422)",77,186,27307,039507e6-1fb6-45ca-bd25-1d78ee60be4f
290,Ihara,Micho,,A Bird Flying North,1971,burnished aluminum,21225,Bay-Brook ES,4301 Tenth St.,PS 124,Front lawn,,,,,"4301 Tenth St.21225
(39.22664879148738, -76.59973332814752)",26,38,27937,ab394835-d7fd-4dec-a472-f85c7e2ecfa6
291,Carroll,Rodney,,William Donald Schaefer,2009,,,,,,,,,,,,,,,79b41b0b-a219-404e-94ac-718fd31e1007
292,"Metzger, architects",G.,,Colonel George Armistead,,,21230,Federal Hill Park,Federal Hill Park,,,,,,,"Federal Hill Park21230
(39.266940000000034, -76.62630000000001)",258,151,27953,6331547e-f260-4ec0-89cf-58088f0d6fe0
293,Gregory,Thomas,https://data.baltimorecity.gov/views/5xsg-uc29/files/QtpmY6qKIVd3zlISqvyrLZj_ji5ZglHRg_4Rzrde00E?filename=25_Gregory.jpg,Faces,,photographic emulsion,21215,Mondawmin Station (Metro),2525 Liberty Heights Ave.,,Liberty Heights / Reisterstown,,,,,"2525 Liberty Heights Ave.21215
(39.31958713286982, -76.65688500327228)",25,40,27295,0659c1cc-353d-4607-ae5c-bf339f8f717f
294,Gargallo,Pablo,,The Prophet(St. John the Baptist),,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,44c28f2b-f0ff-459a-8f1f-a2df3e7f3357
295,James and Mural Masters,Shawn,,,2004,mural,21230,1620 Bush St.,1620 Bush St.,,Side of building,"Gwynns Falls Trail; peace sign",Visible,,,"1620 Bush St.21230
(39.27469956751287, -76.63308018899397)",32,178,27953,4e21d978-4343-4b8b-b7ab-ea8f6d1d5bc7
296,Brown,David Lee,,Centennial Sculpture,1975,polished steel,21218,Johns Hopkins University,N. Charles and 34th Sts.,,West entrance to library,,,,Y,"N. Charles and 34th Sts.21218
(39.32947000000013, -76.60331999999988)",77,186,27307,874128bd-5fac-49b1-990c-f8e3056948fc
297,Miller,J. Maxwell,,Confederate Women Monument,1918,bronze,21218,Johns Hopkins University,W. University Pkwy. and N. Charles Sts.,,,,,,Y,"W. University Pkwy. and N. Charles Sts.21218
(39.33257094009832, -76.61805251788434)",123,13,27307,f6a217e2-6f68-406e-9dc8-192e25a46b14
298,Ruckstuhl,F. Wellington,,Confederate Soldiers and Sailors Monument,1903,metal (bronze?),21217,Mount Royal Ave. at Mosher St.,Mount Royal Ave. at Mosher St.,,Median strip,,,,Y,"Mount Royal Ave. at Mosher St.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,ef9ea421-bf4e-4e53-acde-7f8884f70daf
299,Crenier,Henri,https://data.baltimorecity.gov/views/5xsg-uc29/files/kTK84lOTYdetoKpK-pzHEnUeKMccSsLiiymWegpYHaA?filename=457_Crenier+H_1916.JPG,Boy and Turtle,1916,bronze1992/orig.cast iron,21201/02,Mount Vernon Pl.,Mount Vernon Pl.,,,,,,,"Mount Vernon Pl.21201/02
(39.29730928950913, -76.61563717252402)",165,92,13645,3e63a4d6-3555-4053-b480-ebc9e266ae4a
300,Laurens,Henri,,Large Bather,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,a5a0b5a9-af8a-4bd5-902f-372e12f8f902
301,Shaw,Dr. Luke,,Unknown,1990,mural,21205,Armistead Gardens ES,5001 E. Eager St,PS 243,"Interior; main lobby",,,,,"5001 E. Eager St21205
(39.305213563967015, -76.55323837923271)",6,145,13987,37d933f2-41f8-496a-86f6-3c1c885d14ef
302,No artist involved,None,https://data.baltimorecity.gov/views/5xsg-uc29/files/QmUZTl4IkahPJmhFAR5_09RX3GubvRYJGcyhXvWjHaI?filename=351d_Hartmann+J_1992.JPG,Pride of Baltimore Memorial,1992,granite & steel,21230,Rash Field- S. side of Inner Harbor,Rash Field Key Highway,,Rash Field- S. side of Inner Harbor,Large mast with commerative plaques of crew who perished in Pride's sinking,Very visible,Outdoor accessible,,"Rash Field Key Highway21230
(39.266940000000034, -76.62630000000001)",258,151,27953,5bfcadc7-5189-4316-9d25-221beb9ecf52
303,Berge,Edward,,Chapin A. Harris bust,1922,bronze,21211,Wyman Park Dr. and 31st St.,Wyman Park Dr. and 31st St.,,Median at edge of park,,,,Y,"Wyman Park Dr. and 31st St.21211
(39.325070594373926, -76.62143396871454)",209,13,14006,84befed2-dacd-40c8-a063-ff5405dd165e
304,Romulo,Aika,,,2006,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,7d3dcbfc-791c-4e42-8d28-b578b624120a
305,Fremiet,Emmanuel,https://data.baltimorecity.gov/views/5xsg-uc29/files/t92kH4_sRUpmBe_6x-aVPTWNJ7rOP4UYISgRl24XyGM?filename=313_Fremiet+E_1903.JPG,John Eager Howard Monument,1903,bronze,21201/02,Mount Vernon Pl.,Mount Vernon Pl.,,,,highly visible,outdoor accessible,Y,"Mount Vernon Pl.21201/02
(39.29730928950913, -76.61563717252402)",165,92,13645,815e5630-d84f-4718-b5a0-0da3bf296eef
306,Woodside,Robbie,,,1987,mural,21216,711 Poplar Grove,711 Poplar Grove,,,,,,,"711 Poplar Grove21216
(39.310280000000034, -76.67214999999999)",246,44,27297,46b63d42-7c6e-4976-b671-202a46c1fb0c
307,Kissack,Lyle,,,2004,mural,21213,N. Patterson Park Ave. and N. Gay St.,N. Patterson Park Ave. and N. Gay St.,,"Side of building; South side of Gay St.",People in community,Limited visibility,,,"N. Patterson Park Ave. and N. Gay St.21213
(39.31099620461538, -76.58588376889628)",23,148,26956,45b85a2e-2b5b-4179-a78c-4d3099729a5b
308,unknown,,,Flagstaff,1920,,21223,Wilkens Ave. and Gilmore Str.,Wilkens Ave. and Gilmore St.,,,,,,Y,"Wilkens Ave. and Gilmore St.21223
(39.28356688272174, -76.64210038894782)",159,9,27632,dda87edb-692c-4204-b40d-a54a421bcad9
309,Sheppard,Joseph,,Unknown,1971,mural,21202,Police Headquarters Building,601 E. Fayette St.,,Interior,,,,,"601 E. Fayette St.21202
(39.290680519973535, -76.60768333488653)",65,6,13645,9476f4a3-34e8-402a-b665-d681546a39a7
310,Cohen and Community Youth,Jay Wolf Schlossberg,,,2000,mural,21223,Ashton and Smallwood Sts.,Ashton and Smallwood Sts.,,Side of building which was destroyed,"Unknown; destroyed",N/A,,,"Ashton and Smallwood Sts.21223
(39.28365000000008, -76.65196999999989)",36,279,27632,eb0b9edf-6985-48b3-9a39-74adddd0fe1f
311,Monroe,John,,Unknown (Old Post Office Relief),1890,granite,21210,Private Home Roland Park,408 Woodlawn Rd.,,Front porch,,,,,"408 Woodlawn Rd.21210
(39.350422482379884, -76.6332870330607)",214,235,14004,e16988ab-41bb-4560-8e03-a5b22f84cef7
312,unknown,,,Market Fountain,,,21201,,Redwood St. and Market Pl.,,,,,,,"Redwood St. and Market Pl.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,69714a73-f854-47cf-9273-68443b7cc455
313,van Rossum,Peter,,Untitled,1971,exposed aggregate,21217,Westside ES,2235 N. Fulton Ave.,PS  24,Front façade,,,,,"2235 N. Fulton Ave.21217
(39.314323696123836, -76.64512211096627)",190,19,27301,28dd3b50-87d3-45d7-a05b-5c1020612429
314,Todd,Thomas A.,,McKeldin Square and Cascade,,,21202,McKeldin Sq.,Pratt and Light Sts.,,Southeast corner of intersection,,,,,"Pratt and Light Sts.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,583b40d7-739c-43ce-bd00-4a3615d24680
315,Greenamyer,George Mossman,,Engine Company 43,1985,steel,21239,Fire Station #43,1100 Walters Ave.,,Chinaquapin Street,,,,,"1100 Walters Ave.21239
(39.359020000980024, -76.59695442307697)",92,229,28564,7cd1ab43-5fd8-41f1-ac53-7a0f23b14fb1
316,du Fayette,Pierre,,"Unknown (""The Question Mark""",1970,aluminum,21216,Walbrook HS,2000 Edgewood St.,PS 411,Courtyard,,,,,"2000 Edgewood St.21216
(39.31021379444991, -76.67596885657127)",83,45,27297,76adb15b-782b-4b7b-b6bd-b7d40e9a1dad
317,Aumiller,Nick,https://data.baltimorecity.gov/views/5xsg-uc29/files/9pjNTEn0dgmS-stw5y7q2MPPdTudwLkaQKjQmRpCHmI?filename=657_Aumiller+N_1993.JPG,Love the Animals,1993,mural (non-city funded),21224,2800 E. Fayette St.,2800 E. Fayette St.,,Mini murals on posts located in median strip,Pictures of animals,Visible,,,"2800 E. Fayette St.21224
(39.29461238292728, -76.57774620187782)",141,123,27935,58dc71c5-23a7-487a-82f7-bed26b8be7c6
318,Glazer,Helen,,Ursa Major and Ursa Minor,1993,mural,21223,1224 W. Lombard St.,1224 W. Lombard St.,,Side of building,"Constellations: Ursa Major and Ursa Minor; The Great Bear and the Little Bear",Visible,,,"1224 W. Lombard St.21223
(39.286570618299606, -76.63743290761579)",114,7,27632,9e67b5c3-5824-431f-b7ee-b43f729b61b1
319,,Unknown,,Korean War Memorial,,,21224,Canton Waterfront Park,Boston St. and S. Potomac St.,,,,,,Y,"Boston St. and S. Potomac St.21224
(39.27782920817481, -76.57384184692398)",30,115,27935,659250a9-9b05-4d5a-83d2-91622565f206
320,Bufano,Benjamin,,Horse,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University21218
(39.32947000000013, -76.60331999999988)",77,186,27307,c705f505-1be6-412b-af33-892f94af7c6e
321,Halegua,Alfredo,,"""Children's Round Square""",1969,concrete,21223,Steuart Hill ES,30 S. Gilmore St.,PS  04,Entrance plaza,,,,,"30 S. Gilmore St.21223
(39.2871969372407, -76.64236831857609)",236,9,27632,022b3108-df37-4517-8ce6-cca82fb3cac8
322,Gregory,R. Thomas,,Unknown,1996,photographic mural,21218,Thomas Jefferson ES,605 Dryden Dr.,PS 232,"Interior; main entrance lobby",,,,,"605 Dryden Dr.21218
(39.32947000000013, -76.60331999999988)",77,186,27307,a79114a7-d6d4-449b-8247-6aeb1661baee
323,Hess,David,https://data.baltimorecity.gov/views/5xsg-uc29/files/EKSmkwjyFDS8jfGGRScs6jOiD_0iySXRFr6keK8aIhY?filename=702b_Hess+D_2002.JPG,Inertia Study,2002,sculpture,21218,Mergenthaler Vocational HS,3500 Hillen Rd.,,Mergenthaler Vocation H.S. entrance,"Five large circular objects with hole; looks like donuts or bolts","Visible; located on school grounds but, because artwork is over entrance, can be seen from a distance",,,"3500 Hillen Rd.21218
(39.33167161806898, -76.58903139599886)",77,190,27307,3ac65de4-ec12-4dab-b463-becfb998beb1
324,Waters-Eller,Susan,,,1989,mural,21215,5276 Park Heights Ave.,5276 Park Heights Ave.,,,,,,,"5276 Park Heights Ave.21215
(39.3498828891623, -76.67880172096358)",5,244,27295,43de63f0-9320-4393-a02c-58ad29f2c04f
325,unknown,,,Eagles,,,21207,Leakin Park,1900 Eagle Dr,,,,,,,"1900 Eagle Dr21207
(39.30524631852888, -76.70055876005011)",85,57,13995,fa99f6e7-90a2-4ed2-b4e2-19089f00dce4
326,Sheppard,Joseph,,Fireman Saving a Child,1976,bronze,21202,Old Town Firehouse,1100 Hillen St.,,Entrance wall,,,,,"1100 Hillen St.21202
(39.29719161146562, -76.60506630778127)",179,108,13645,d5d63edc-e23b-4e26-8243-43283bc3089b
327,Edmister,Stan,,Lakeland Playfield,,painted steel,21230,Wegworth Park playground,2752 Wegworth Ln.,,entire park playground,,,,,"2752 Wegworth Ln.21230
(39.25377234389106, -76.6417586465767)",134,162,27953,18af7a72-afe9-490b-bab2-7cd930f08de7
328,Howeler,Gerald,,Untitled,1977,black Tennensee marble,21202,Park at Lombard and Commerce Sts.,Lombard and Commerce Sts.,,Northeast corner of intersection,,,,,"Lombard and Commerce Sts.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,fc186ad5-c23e-478e-bf6d-3b57a74bd640
329,Moring,Greg,,Rogers Avenue,1983,cor ten,21215,Rogers Avenue Metro Station,Rogers Avenue Metro Station,,Outside sub way station,,,,Y,"Rogers Avenue Metro Station21215
(39.34556999999995, -76.68362000000002)",5,244,27295,8dac634a-24dc-4372-9fdc-a60ebd1fc48b
330,Majorowicz,Roger,,"Sod Buster/Chanticleer I""",1975,"steel, forged iron, wood",21216,Windsor Hills ES,4001 Alto Rd.,PS  87,Lawn in front of building,,,,,"4001 Alto Rd.21216
(39.31689575712761, -76.683019541281)",260,49,27297,89803918-fdd5-479a-b8b0-f11da7a15505
331,Rattigan and MICA CAP Program,Jennifer,,,2003,mural,21230,1800 block Hanover St,1800 block Hanover St.,,Side of Glass and Mirror Company,Images of community life,Very visible,,,"1800 block Hanover St.21230
(39.266940000000034, -76.62630000000001)",258,151,27953,eececdb7-58c3-40a0-962c-cdc0a87a2a85
332,Scott,Oliver Patrick,,OM,1978,mayari r steel,21217,Constant Care Community Health Center,1501 Division St.,,Entrance façade,,,,,"1501 Division St.21217
(39.303082170757534, -76.63195603645732)",242,101,27301,2f6254da-1e41-488f-a507-b06e08f0def2
333,Kurtz,Benjamin F.,,Peale Museum Bas Relief,1931,concrete,21202,Peale Musem,225 N. Holliday St.,,Four exterior reliefs,,,,,"225 N. Holliday St.21202
(39.291606790607716, -76.61018346481389)",65,6,13645,c3f72f19-c367-4d35-9d83-040cd68737c9
334,Ezekiel,Moses J.,,Poe Monument,1915,,21217,"University of Baltimore, Law Library",Mt. Royal and Maryland Ave.,,Entrance plaza,,,,Y,"Mt. Royal and Maryland Ave.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,230f9d95-591e-42ee-8243-06c08f32e81e
335,Berge,Edward,,Wildflower,before 1924,bronze,21212,Homeland Garden,Homeland Garden,,Median,,,,,"Homeland Garden21212
(39.353862389141966, -76.61524663315294)",116,234,14009,08b6d80d-fae4-47b3-af12-0c57949c5e27
336,Streett,Tylden,https://data.baltimorecity.gov/views/5xsg-uc29/files/c4QjOSWRiNlUiYmE4QkqY65L9UYDSaI9Skecu4uXr4Y?filename=art+019.jpg,Baltimore City Fire Fighters Monument,1990,bronze,21202,Fire Department Headquarters,410 E. Lexington and Gay Sts.,,410 E. Lexington and Gay Sts.,Firefighter standing with ax,Very visible,,,"410 E. Lexington and Gay Sts.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,5688dc76-555e-4ca3-b392-ab785525de16
337,Walter,Bart,https://data.baltimorecity.gov/views/5xsg-uc29/files/Nfx60aaOqgplt6OKnNx9qJ7AnDViPjDsCwai-AncpWg?filename=586_+Walter+B_1993.JPG,Three Otters,1993,bronze,21217,Baltimore Zoo,Baltimore Zoo,,Inside main entrance to zoo,Three otters on and around rocks,Visible,,,"Baltimore Zoo21217
(39.31194000000011, -76.64039000000002)",195,19,27301,7bfc160f-f7eb-493b-b453-653ca3bd7006
